,Global CMP22 (vent/cor) [W/m^2]
2022-01-20 04:26:00-07:00,-1.87603
2022-01-20 04:27:00-07:00,-1.87603
2022-01-20 04:28:00-07:00,-1.82062
2022-01-20 04:29:00-07:00,-1.76521
2022-01-20 04:30:00-07:00,-1.72564
2022-01-20 04:31:00-07:00,-1.71376
2022-01-20 04:32:00-07:00,-1.72168
2022-01-20 04:33:00-07:00,-1.72564
2022-01-20 04:34:00-07:00,-1.74147
2022-01-20 04:35:00-07:00,-1.77313
2022-01-20 04:36:00-07:00,-1.77313
2022-01-20 04:37:00-07:00,-1.73355
2022-01-20 04:38:00-07:00,-1.6821
2022-01-20 04:39:00-07:00,-1.67419
2022-01-20 04:40:00-07:00,-1.68211
2022-01-20 04:41:00-07:00,-1.70981
2022-01-20 04:42:00-07:00,-1.69793
2022-01-20 04:43:00-07:00,-1.75729
2022-01-20 04:44:00-07:00,-1.80083
2022-01-20 04:45:00-07:00,-1.80479
2022-01-20 04:46:00-07:00,-1.77337
2022-01-20 04:47:00-07:00,-1.66289
2022-01-20 04:48:00-07:00,-1.58823
2022-01-20 04:49:00-07:00,-1.52066
2022-01-20 04:50:00-07:00,-1.48501
2022-01-20 04:51:00-07:00,-1.43781
2022-01-20 04:52:00-07:00,-1.41385
2022-01-20 04:53:00-07:00,-1.40125
2022-01-20 04:54:00-07:00,-1.36931
2022-01-20 04:55:00-07:00,-1.37005
2022-01-20 04:56:00-07:00,-1.38632
2022-01-20 04:57:00-07:00,-1.38183
2022-01-20 04:58:00-07:00,-1.39768
2022-01-20 04:59:00-07:00,-1.42554
2022-01-20 05:00:00-07:00,-1.43781
2022-01-20 05:01:00-07:00,-1.44178
2022-01-20 05:02:00-07:00,-1.46051
2022-01-20 05:03:00-07:00,-1.48677
2022-01-20 05:04:00-07:00,-1.51299
2022-01-20 05:05:00-07:00,-1.59548
2022-01-20 05:06:00-07:00,-1.64692
2022-01-20 05:07:00-07:00,-1.67945
2022-01-20 05:08:00-07:00,-1.67721
2022-01-20 05:09:00-07:00,-1.65029
2022-01-20 05:10:00-07:00,-1.62184
2022-01-20 05:11:00-07:00,-1.6011
2022-01-20 05:12:00-07:00,-1.62031
2022-01-20 05:13:00-07:00,-1.6398
2022-01-20 05:14:00-07:00,-1.69535
2022-01-20 05:15:00-07:00,-1.73839
2022-01-20 05:16:00-07:00,-1.79293
2022-01-20 05:17:00-07:00,-1.82459
2022-01-20 05:18:00-07:00,-1.86021
2022-01-20 05:19:00-07:00,-1.8602
2022-01-20 05:20:00-07:00,-1.82219
2022-01-20 05:21:00-07:00,-1.73855
2022-01-20 05:22:00-07:00,-1.66057
2022-01-20 05:23:00-07:00,-1.58949
2022-01-20 05:24:00-07:00,-1.56149
2022-01-20 05:25:00-07:00,-1.54136
2022-01-20 05:26:00-07:00,-1.52136
2022-01-20 05:27:00-07:00,-1.52912
2022-01-20 05:28:00-07:00,-1.53673
2022-01-20 05:29:00-07:00,-1.54499
2022-01-20 05:30:00-07:00,-1.55313
2022-01-20 05:31:00-07:00,-1.56552
2022-01-20 05:32:00-07:00,-1.55825
2022-01-20 05:33:00-07:00,-1.54255
2022-01-20 05:34:00-07:00,-1.53838
2022-01-20 05:35:00-07:00,-1.52563
2022-01-20 05:36:00-07:00,-1.51357
2022-01-20 05:37:00-07:00,-1.50588
2022-01-20 05:38:00-07:00,-1.50707
2022-01-20 05:39:00-07:00,-1.48797
