,Ambient Temperature,Barometric Pressure,Diffuse Horizontal,Direct Normal,Global Horizontal,Global Normal,Plane of array,Relative Humidity,UV-A,UV-B,Wind Direction,Wind Speed
1/1/2022 5:45,-15.16312,810.6669,0,1.409207,-0.6688538,0,-0.363701,93.25319,0.003704252,0.001645975,47.93495,0.3614778
1/1/2022 5:50,-15.0609,810.7496,0,1.76151,-0.6688546,0,-0.3637015,93.33862,0.003704265,0.001810578,325.0298,1.017849
1/1/2022 5:55,-15.14538,810.676,0,1.40921,-0.6688552,0,-0.3637018,93.32401,0.00740872,0.001646023,353.2601,1.512543
1/1/2022 6:00,-15.16207,810.7618,0,1.056908,-0.6688555,0,-0.363702,93.2912,0.007408819,0.001646045,331.9985,0.9417848
1/1/2022 6:05,-15.14492,810.9677,0,1.056908,-0.6688557,0,-0.363702,93.27464,0.003704428,0.001646053,-1.030643,0.8181202
1/1/2022 6:10,-15.14482,810.6421,0,1.409211,0,0,-0.3637021,93.34313,0.007408888,0.00164606,339.0802,0.8371498
1/1/2022 6:15,-15.07667,810.7654,0.3796546,1.409211,-0.6688558,0,-0.3637021,93.25821,0.007408904,0.00181067,343.1872,0.9037432
1/1/2022 6:20,-15.07664,810.3979,0,1.409211,0,0,-0.3637021,93.27532,0.003704455,0.001646065,88.90794,-0.05707856
1/1/2022 6:25,-15.07663,811.0928,0.3796546,2.113816,0,0,-0.3637021,93.29241,0.003704458,0.001646066,49.34726,0.3519848
1/1/2022 6:30,-15.09364,810.9294,0,1.761513,-0.6688558,0,-0.3637021,93.27542,0,0.001646067,341.8702,0.808614
1/1/2022 6:35,-15.14471,811.0929,0,1.409211,-0.6688558,0,-0.3637021,93.27544,0.007408919,0.001646067,327.8049,1.055955
1/1/2022 6:40,-15.12768,811.1338,0,1.761513,-0.6688558,0,-0.3637021,93.22437,0.00370446,0.001810674,43.24923,0.04756554
1/1/2022 6:45,-15.11066,811.2563,0,2.113816,-0.6688558,0,-0.3637021,93.24139,0.00740892,0.001646067,334.669,0.5898127
1/1/2022 6:50,-15.07661,811.5833,0,1.409211,-0.6688558,0,-0.3637021,93.27544,0.00740892,0.001646067,41.07354,1.388914
1/1/2022 6:55,-15.11066,811.6241,0,0.7046054,-0.6688558,0,-0.3637021,93.27544,0.00740892,0.001646067,7.243105,1.265243
1/1/2022 7:00,-15.09364,811.2972,0,0.7046054,0,0,-0.3637021,93.24139,0.00740892,0.001646067,348.857,0.70397
1/1/2022 7:05,-15.12768,812.0735,0.3796546,1.409211,0,0,0,93.24139,0.02222676,0.001975281,355.905,1.274756
1/1/2022 7:10,-15.09364,811.7466,0.3796546,0.3523027,0.6688558,0.6495307,0.3637021,93.20734,0.05186244,0.002304494,66.32379,1.474532
1/1/2022 7:15,-15.16173,811.9101,0.7593091,0.3523027,0.6688558,0.6495307,0.7274042,93.17329,0.08890704,0.002304494,354.4954,2.397303
1/1/2022 7:20,-15.16173,812.2369,0.7593091,0.7046054,0.6688558,1.299061,1.454808,93.08817,0.1704052,0.002469101,343.1573,1.274756
1/1/2022 7:25,-15.22983,812.1961,1.898273,0.7046054,1.337712,2.598123,2.182213,92.98603,0.281539,0.002962921,338.8672,1.274756
1/1/2022 7:30,-15.29793,812.2778,4.555855,0.7046054,4.013135,5.845777,5.819234,92.93496,0.4148995,0.003621348,56.33401,0.5993258
1/1/2022 7:35,-15.349,812.4413,6.833782,0.7046054,6.019702,9.742961,9.819957,92.91793,0.5890092,0.003785955,88.84678,0.1617228
